feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GGB9287	week	day12	-0.0833333333333665	0.058925565314308	48	1	0.166665132014013	0.243221485114841
GGB9287	week	day4	-0.0833333333333665	0.058925565314308	48	1	0.166665132013939	0.243221485114841
GGB9287	week	day8	-0.0833333333333665	0.058925565314308	48	1	0.166665132013939	0.243221485114841
GGB9291	week	day12	-0.622511841559932	0.380452715988293	48	2	0.111292923157588	0.243221485114841
GGB9291	week	day4	-0.622511841559932	0.380452715988293	48	2	0.111292923162963	0.243221485114841
GGB9291	week	day8	-0.622511841559932	0.380452715988293	48	2	0.111292923161315	0.243221485114841
GGB9297	week	day12	-0.0833333333333404	0.0589255653148444	48	1	0.16666513199609	0.243221485114841
GGB9297	week	day4	-0.0833333333333404	0.0589255653148444	48	1	0.166665131997272	0.243221485114841
GGB9297	week	day8	-0.0833333333333405	0.0589255653148444	48	1	0.166665131999114	0.243221485114841
GGB9301	week	day12	-0.761799689865313	0.47800693284754	48	2	0.120537710896062	0.243221485114841
GGB9301	week	day4	-0.761799689865313	0.47800693284754	48	2	0.120537710885983	0.243221485114841
GGB9301	week	day8	-0.761799689865313	0.47800693284754	48	2	0.12053771089386	0.243221485114841
GGB9302	group	R	-0.0624999999999859	0.0436772651201068	48	1	0.159672223159176	0.243221485114841
GGB9302	week	day12	-0.0833333333333002	0.0582363534934757	48	1	0.159672223159225	0.243221485114841
GGB9302	week	day4	-0.0833333333333002	0.0582363534934757	48	1	0.159672223159225	0.243221485114841
GGB9302	week	day8	-0.0833333333333002	0.0582363534934757	48	1	0.159672223159225	0.243221485114841
GGB9303	week	day12	-0.083333333333325	0.0589255653147414	48	1	0.166665131992187	0.243221485114841
GGB9303	week	day4	-0.083333333333325	0.0589255653147414	48	1	0.166665131988415	0.243221485114841
GGB9303	week	day8	-0.083333333333325	0.0589255653147414	48	1	0.166665131991222	0.243221485114841
GGB9309	group	R	-0.0624999999999939	0.0436772651201067	48	1	0.159672223159089	0.243221485114841
GGB9309	week	day12	-0.0833333333333097	0.0582363534934756	48	1	0.15967222315919	0.243221485114841
GGB9309	week	day4	-0.0833333333333097	0.0582363534934756	48	1	0.15967222315919	0.243221485114841
GGB9309	week	day8	-0.0833333333333097	0.0582363534934756	48	1	0.159672223159191	0.243221485114841
GGB9333	week	day12	-0.859475558942953	0.58283394205805	48	4	0.149784174088567	0.243221485114841
GGB9333	week	day8	-0.883259077181473	0.58283394205805	48	4	0.13917808617925	0.243221485114841
GGB9348	week	day12	-0.0833333333333333	0.0589255653168783	48	1	0.16666513198758	0.243221485114841
GGB9348	week	day4	-0.0833333333333333	0.0589255653168783	48	1	0.166665131984192	0.243221485114841
GGB9348	week	day8	-0.0833333333333333	0.0589255653168783	48	1	0.166665131989661	0.243221485114841
GGB9359	week	day12	-0.0833333333333002	0.0589255653145853	48	1	0.166665132031368	0.243221485114841
GGB9359	week	day4	-0.0833333333333002	0.0589255653145853	48	1	0.166665132033695	0.243221485114841
GGB9359	week	day8	-0.0833333333333002	0.0589255653145853	48	1	0.16666513203183	0.243221485114841
GGB9361	week	day12	-0.0833333333333333	0.0589255653158896	48	1	0.166665132027103	0.243221485114841
GGB9361	week	day4	-0.0833333333333333	0.0589255653158895	48	1	0.166665132027103	0.243221485114841
GGB9361	week	day8	-0.0833333333333333	0.0589255653158896	48	1	0.166665132032024	0.243221485114841
GGB9370	group	R	-0.86655306055373	0.581301480016315	48	4	0.166889608134918	0.243221485114841
GGB9370	week	day4	0.400244311251938	0.242695055191254	48	4	0.108602591092546	0.243221485114841
GGB9380	week	day12	-0.56981161781885	0.355429032326105	48	3	0.118427974971877	0.243221485114841
GGB9411	week	day12	-0.0833333333333522	0.0589255653132414	48	1	0.166665132004139	0.243221485114841
GGB9411	week	day4	-0.0833333333333522	0.0589255653132414	48	1	0.166665132010708	0.243221485114841
GGB9411	week	day8	-0.0833333333333522	0.0589255653132414	48	1	0.166665132008282	0.243221485114841
GGB9412	week	day12	-0.570814620840087	0.34438087331939	48	2	0.106894614775305	0.243221485114841
GGB9412	week	day4	-0.570814620840087	0.34438087331939	48	2	0.106894614778468	0.243221485114841
GGB9412	week	day8	-0.570814620840087	0.34438087331939	48	2	0.106894614773212	0.243221485114841
GGB9454	week	day12	-0.0833333333333475	0.0589255653117472	48	1	0.166665131938147	0.243221485114841
